last_name,first_name,gender,religion,religion_category,party,state,region,birthdate,bioguide_id,ugrad_degree,ugrad_school,ugrad_school_category,grad_degree,grad_school,grad_school_category,grad_degree2,grad_school_2,networth_2011,top_industry1,top_industry2,top_industry3,committee_name_1,committee_name_2,committee_name_3,committee_name_4,committee_name_5,committee_name_6,committee_name_7,committee_name_8,prior_occupation1,prior_occupation2,prior_occupation3,prior_occupation4,prior_occupation5,DW_nominate
Sanders,Bernard,Male,Jewish,Jewish,Independent,VT,Northeast,9/8/41,S000033,B.S.,University of Chicago,Private Research,none,none,None,,,308005,Democratic/liberal,Industrial Unions,Public Sector Unions,Joint Economic Committee,Veterans Affairs,Environment and Public Works,"Health, Education, Labor, and Pensions",Energy and Natural Resources,Budget,,,"faculty, Harvard University; faculty, Hamilton College",carpenter,journalist,,,-0.643
Baldwin,Tammy,Female,Unspecified,Unspecified,Democrat,WI,Midwest,2/11/62,B001230,A.B.,Smith College,Liberal Arts,J.D.,University of Wisconsin Law School,Land Grant University,,,758501,Women's Issues,Lawyers/law Firms,Democratic/liberal,"Health, Education, Labor, and Pensions",Homeland Security and Governmental Affairs,Budget,Senate Special Committee on Aging,,,,,"lawyer, private practice","Dane County, Wisconsin, board of supervisors",member of the Wisconsin state assembly,,,-0.554
Durbin,Richard,Male,Roman Catholic,Catholic,Democrat,IL,Midwest,11/21/44,D000563,B.S.,Georgetown University School of Foreign Service,Private Research,J.D.,Georgetown University Law Center,Private Research,,,1326065,Lawyers/law Firms,Securities & Investment,Pro-Israel,Joint Committee on the Library,Rules and Administration,Judiciary,Foreign Relations,Appropriations,,,,lawyer,legal counsel,"associate professor, Southern Illinois University School of Medicine","delegate, Democratic National Convention",chairman of Illinois state delegation,-0.522
Harkin,Thomas,Male,Roman Catholic,Catholic,Democrat,IA,Midwest,11/19/39,H000206,B.A.,Iowa State University,Land Grant University,J.D.,Catholic University of America Law School,Religiously Affiliated,,,16012060,Lawyers/law Firms,Health Professionals,Lobbyists,Small Business and Entrepreneurship,"Health, Education, Labor, and Pensions",Appropriations,"Agriculture, Nutrition, and Forestry",,,,,lawyer,served in the United States Navy and Naval reserve,"attorney for Polk County, Iowa, Legal Aid Society","member, board of directors, Iowa Consumers League",,-0.517
Whitehouse,Sheldon,Male,Episcopalian,Protestant,Democrat,RI,Northeast,10/20/55,W000802,B.A.,Yale University,Ivy League,J.D.,University of Virginia,Other Public,,,8311113,Lawyers/law Firms,Securities & Investment,Leadership Pacs,United States Senate Caucus on International Narcotics Control,Commission on Security and Cooperation in Europe,Environment and Public Works,"Health, Education, Labor, and Pensions",Judiciary,Budget,Senate Special Committee on Aging,,"director, Rhode Island Department of Business Regulation",United States attorney,Rhode Island State attorney general,,,-0.516
Brown,Sherrod,Male,Lutheran,Protestant,Democrat,OH,Midwest,11/9/52,B000944,B.A.,Yale University,Ivy League,M.A.,Ohio State University,Land Grant University,M.P.A.,Ohio State University,507003,Lawyers/law Firms,Health Professionals,Education,Senate Select Committee on Ethics,Veterans Affairs,Finance,"Banking, Housing, and Urban Affairs","Agriculture, Nutrition, and Forestry",,,,Member of the Ohio House of Representatives from the 61st District,47th Ohio Secretary of State,Member of the U.S. House of Representatives from Ohio's 13th congressional district,,,-0.501
Hirono,Mazie,Female,Buddhist,Buddhist,Democrat,HI,West,11/3/47,H001042,B.A.,"University of Hawaii, Manoa",Land Grant University,J.D.,Georgetown University,Private Research,,,2478018,Lawyers/law Firms,Women's Issues,Transportation Unions,Veterans Affairs,Judiciary,Armed Services,,,,,,"lawyer, private practice",member of the Hawaii state house of representatives,Hawaii lieutenant governor,,,-0.492
Boxer,Barbara,Female,Jewish,Jewish,Democrat,CA,West,11/11/40,B000711,B.A.,Brooklyn College,Other Public,none,none,None,,,3263504,Lawyers/law Firms,Women's Issues,Tv/movies/music,Senate Select Committee on Ethics,Environment and Public Works,Foreign Relations,"Commerce, Science, and Transportation",,,,,stockbroker,newspaper editor,congressional aide,"elected member, Board of Supervisors, Marin County, Calif.","delegate, California State Democratic convention",-0.485
Gillibrand,Kirsten,Female,Roman Catholic,Catholic,Democrat,NY,Northeast,12/9/66,G000555,B.A.,Dartmouth College,Ivy League,J.D.,University of California Los Angeles,Other Public,,,102003,Lawyers/law Firms,Securities & Investment,Real Estate,Environment and Public Works,Armed Services,"Agriculture, Nutrition, and Forestry",Senate Special Committee on Aging,,,,,Member of House of Representatives,"Partner, BOIES, SCHILLER & FLEXNER LLP ","Special Counsel, US Department of HUD","Associate, DAVIS POLK & WARDWELL",,-0.478
Reed,John,Male,Roman Catholic,Catholic,Democrat,RI,Northeast,11/12/49,R000122,B.S.,United States Military Academy,Military Academy,J.D.,Harvard University School of Law,Ivy League,,,570022,Lawyers/law Firms,Securities & Investment,Real Estate,"Banking, Housing, and Urban Affairs",Armed Services,Appropriations,,,,,,served in the U.S. army and Army Reserve,"associate professor, Department of Social Sciences, U.S. Military Academy",lawyer,"member, Rhode Island State senate",,-0.478
